시간,규모,진앙(km),위도,경도,위치
2016-06-03,3,10,36.39,127.92,경북 상주시 서쪽 22km 지역
2016-06-05,2.2,17,36,129.58,경북 포항시 남구 동쪽 20km 해역
2016-06-07,2.3,12,33.05,126.17,제주 제주시 고산 남쪽 27km 해역
2016-06-13,2.7,8,34.3,124.68,전남 신안군 흑산면 서남서쪽 82km 해역
2016-06-15,2.6,20,35.87,129.69,경북 포항시 남구 동남동쪽 33km 해역
2016-06-21,3.1,0,39.49,126.19,북한 평안남도 성천군 북쪽 28km 지역
2016-06-25,2.6,1,38.74,125.86,북한 황해북도 송림시 20km 지역
2016-07-05,5,19,35.51,129.99,울산 동구 동쪽 52km 해역
2016-07-05,2.6,24,35.51,129.87,울산 동구 동쪽 41km 해역
2016-07-09,2.3,18,35.48,129.97,울산 동구 동쪽 50km 해역
2016-07-09,2.6,0,38.69,125.83,북한 황해북도 송림시 동남동쪽 18km 지역
2016-07-13,2,9,36.8,128.53,경북 영주시 서쪽 9km 지역
2016-07-14,2.8,12,35.12,130.24,울산 동구 동남동쪽 86km 해역
2016-07-30,2.3,13,33.06,126.33,제주 서귀포시 남서쪽 27km 해역
2016-08-16,2.4,14,36.75,128.84,경북 안동시 북북동쪽 22km 지역
2016-08-17,2.9,0,38.35,128.09,북한 강원도 양구군 북북동쪽 28km 지역
2016-08-18,2.1,0,37.18,125.46,인천 옹진군 연평도 남남서쪽 58km 해역
2016-08-18,2.6,5,38.84,125.7,북한 황해북도 송림시 북북동쪽 13km 지역
2016-08-20,3,7,38.38,128.09,북한 강원도 양구군 북북동쪽 32km 지역
2016-08-20,2.9,18,33.48,127.31,제주 서귀포시 성산 동북동쪽 41km 해역
2016-08-28,2.4,14,38.65,127.16,북한 강원도 평강 북북서쪽 29km 지역
2016-08-28,2.1,7,35.65,127.48,전북 장수군 서쪽 4km 지역
2016-08-30,2.6,18,35.55,128.03,경남 합천군 서쪽 13km 지역
2016-09-12,5.1,15,35.77,129.19,경북 경주시 남남서쪽 8.2km 지역
2018-01-01,1.4,13,36.21,128.31,경북 구미시 북북서쪽 11km 지역
2018-01-02,1.8,8,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
2018-01-02,1.3,12,35.77,129.2,경북 경주시 남쪽 8km 지역
2018-01-02,1.7,6,36.13,129.37,경북 포항시 북구 북쪽 10km 지역
2018-01-03,1.5,8,35.15,128.58,경남 창원시 마산합포구 남남동쪽 5km 지역
2018-01-03,1,5,36.1,129.32,경북 포항시 북구 북북서쪽 8km 지역
2018-01-03,1.8,15,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2018-01-04,1.7,8,36.1,129.37,경북 포항시 북구 북쪽 6km 지역
2018-01-05,1.5,15,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2018-01-05,1.4,6,36.15,129.38,경북 포항시 북구 북쪽 12km 지역
2018-01-06,1.5,9,36.12,129.35,경북 포항시 북구 북쪽 9km 지역
2018-01-06,1.4,10,37.93,128.01,강원 홍천군 북북동쪽 28km 지역
2018-01-07,0.9,17,35.77,129.2,경북 경주시 남쪽 8km 지역
2018-01-07,1.9,19,33.83,127.27,전남 여수시 거문도 남쪽 22km 해역
2018-01-07,1.2,16,36.33,128.18,경북 상주시 남남동쪽 9km 지역
2018-01-08,1.9,0,38.7,125.64,북한 황해북도 송림 남쪽 41km 지역
2018-01-08,1.1,10,37.92,128.01,강원 홍천군 북북동쪽 27km 지역
2018-01-09,1.7,19,35.89,129.59,경북 포항시 남구 동남동쪽 24km 해역
2018-01-09,1.3,7,36.15,129.37,경북 포항시 북구 북쪽 12km 지역
2018-01-09,1.3,12,36.34,127.84,충북 옥천군 동쪽 24km 지역
2018-01-09,1.1,8,36.1,129.34,경북 포항시 북구 북북서쪽 7km 지역
2018-01-10,1.8,5,36.15,129.39,경북 포항시 북구 북쪽 12km 지역
2018-01-10,1.8,8,36.08,129.33,경북 포항시 북구 북서쪽 5km 지역
2018-01-10,1.7,9,36.08,129.34,경북 포항시 북구 북북서쪽 5km 지역
2024-06-08,2.2,15,38.87,129.18,북한 강원 회양 동쪽 138km 해역
2024-06-09,2.1,7,33.4,125.1,제주 제주시 서쪽 133km 해역
2024-06-12,4.8,8,35.7,126.72,전북 부안군 남남서쪽 4km 지역
2024-06-12,3.1,8,35.7,126.73,전북 부안군 남쪽 4km 지역
